CUEST;lp;li
0001;2;2
0001;2;2
0001;2;2
0001;2;2
0001;2;2
0002;2;2
0003;2;2
0003;2;2
0003;2;2
0003;2;2
0004;2;2
0005;2;2
0006;2;2
0007;2;2
0007;2;2
0007;2;2
0008;2;2
0008;2;2
0008;2;2
0008;2;2
0009;2;2
0009;2;2
0009;2;2
0009;2;2
0010;2;2
0010;2;2
0010;2;2
0010;2;2
0011;2;2
0011;2;2
0011;2;2
0011;2;2
0011;2;2
0012;2;2
0012;2;2
0012;2;2
0012;2;2
0012;2;2
0012;2;2
0013;2;2
0013;2;2
0013;2;2
0014;2;2
0014;2;2
0014;2;2
0015;2;2
0015;2;2
0015;2;2
0015;2;2
0015;2;2
0016;2;2
0016;2;2
0016;2;2
0016;2;2
0016;2;2
0017;2;2
0018;2;2
0018;2;2
0019;2;2
0019;2;2
0020;2;2
0021;2;2
0021;2;2
0021;2;2
0021;2;2
0021;2;2
0022;2;2
0022;2;2
0022;2;2
0022;2;2
0022;2;2
0023;2;2
0023;2;2
0023;2;2
0023;2;2
0023;2;2
0024;2;2
0024;2;2
0024;2;2
0024;2;2
0025;2;2
0026;2;2
0026;2;2
0027;2;2
0028;2;2
0028;2;2
0028;2;2
0029;2;2
0029;2;2
0029;2;2
0030;2;2
0030;2;2
0030;2;2
0030;2;2
0031;2;2
0032;2;2
0033;2;2
0034;2;2
0034;2;2
0035;2;2
0035;2;2
0035;2;2
0036;2;2
0036;2;2
0036;2;2
0036;2;2
0036;2;2
0037;1;2
0037;1;2
0037;1;2
0037;1;2
0037;1;2
0038;2;2
0038;2;2
0039;2;2
0039;2;2
0039;2;2
0039;2;2
0040;2;2
0040;2;2
0040;2;2
0041;2;2
0041;2;2
0041;2;2
0041;2;2
0042;2;2
0042;2;2
0042;2;2
0042;2;2
0043;2;2
0043;2;2
0043;2;2
0044;2;2
0044;2;2
0044;2;2
0044;2;2
0045;2;2
0045;2;2
0045;2;2
0045;2;2
0046;2;2
0046;2;2
0046;2;2
0047;2;2
0047;2;2
0047;2;2
0048;2;2
0048;2;2
0049;2;2
0050;2;2
0050;2;2
0050;2;2
0051;2;2
0051;2;2
0052;2;2
0052;2;2
0052;2;2
0052;2;2
0053;1;2
0053;1;2
0053;1;2
0053;1;2
0053;1;2
0053;1;2
0054;2;2
0054;2;2
0054;2;2
0055;1;2
0055;1;2
0055;1;2
0056;1;2
0056;1;2
0056;1;2
0056;1;2
0057;1;2
0057;1;2
0057;1;2
0057;1;2
0058;1;2
0058;1;2
0058;1;2
0058;1;2
0059;1;1
0059;1;1
0059;1;1
0060;2;2
0060;2;2
0060;2;2
0060;2;2
0061;1;2
0061;1;2
0062;2;2
0062;2;2
0062;2;2
0063;2;2
0063;2;2
0063;2;2
0063;2;2
0064;2;2
0064;2;2
0065;2;2
0065;2;2
0065;2;2
0065;2;2
0066;2;2
0066;2;2
0067;2;2
0067;2;2
0067;2;2
0067;2;2
0068;2;2
0069;1;2
0069;1;2
0069;1;2
0069;1;2
0070;1;2
0070;1;2
0070;1;2
0071;1;2
0071;1;2
0071;1;2
0072;2;2
0072;2;2
0072;2;2
0072;2;2
0072;2;2
0073;2;2
0073;2;2
0074;1;2
0074;1;2
0074;1;2
0074;1;2
0075;1;2
0075;1;2
0075;1;2
0075;1;2
0075;1;2
0076;1;2
0076;1;2
0076;1;2
0076;1;2
0077;1;2
0077;1;2
0077;1;2
0077;1;2
0077;1;2
0077;1;2
0077;1;2
0077;1;2
0077;1;2
0077;1;2
0078;1;2
0078;1;2
0078;1;2
0078;1;2
0079;2;2
0080;2;2
0081;2;2
0081;2;2
0082;2;2
0083;1;2
0083;1;2
0083;1;2
0083;1;2
0084;2;2
0085;2;2
0085;2;2
0085;2;2
0086;2;2
0086;2;2
0086;2;2
0087;2;2
0087;2;2
0087;2;2
0087;2;2
0088;2;2
0088;2;2
0088;2;2
0088;2;2
0089;2;2
0089;2;2
0089;2;2
0089;2;2
0090;2;2
0090;2;2
0090;2;2
0091;2;2
0091;2;2
0091;2;2
0092;2;2
0093;2;2
0093;2;2
0093;2;2
0093;2;2
0094;2;2
0094;2;2
0094;2;2
0094;2;2
0095;2;2
0095;2;2
0096;2;2
0096;2;2
0096;2;2
0096;2;2
0097;2;2
0098;2;2
0098;2;2
0099;2;2
0099;2;2
0099;2;2
0099;2;2
0099;2;2
0099;2;2
0100;2;2
0100;2;2
0100;2;2
0100;2;2
0100;2;2
0101;2;2
0101;2;2
0102;2;2
0102;2;2
0103;2;2
0103;2;2
0103;2;2
0104;2;2
0104;2;2
0105;2;2
0105;2;2
0105;2;2
0105;2;2
0106;2;2
0106;2;2
0107;2;2
0107;2;2
0108;2;2
0108;2;2
0109;2;2
0110;2;2
0110;2;2
0110;2;2
0111;2;2
0111;2;2
0111;2;2
0112;2;2
0113;2;2
0113;2;2
0114;2;2
0114;2;2
0114;2;2
0114;2;2
0115;2;2
0116;2;2
0116;2;2
0117;2;2
0117;2;2
0118;2;2
0118;2;2
0118;2;2
0119;1;2
0120;2;2
0121;2;2
0121;2;2
0122;1;2
0122;1;2
0122;1;2
0122;1;2
0123;2;2
0124;1;2
0124;1;2
0124;1;2
0124;1;2
0124;1;2
0125;2;2
0126;2;2
0126;2;2
0127;2;2
0127;2;2
0127;2;2
0127;2;2
0128;2;2
0129;1;2
0129;1;2
0129;1;2
0129;1;2
0129;1;2
0130;2;2
0130;2;2
0130;2;2
0131;2;2
0132;2;2
0133;1;2
0133;1;2
0133;1;2
0133;1;2
0133;1;2
0133;1;2
0134;2;2
0134;2;2
0134;2;2
0134;2;2
0135;1;1
0135;1;1
0135;1;1
0135;1;1
0135;1;1
0136;2;2
0136;2;2
0137;2;2
0138;2;2
0139;2;2
0139;2;2
0139;2;2
0139;2;2
0140;2;2
0141;2;2
0142;2;2
0142;2;2
0143;1;1
0143;1;1
0143;1;1
0143;1;1
0143;1;1
0144;1;2
0144;1;2
0144;1;2
0144;1;2
0144;1;2
0145;2;2
0146;2;2
0146;2;2
0146;2;2
0147;2;2
0147;2;2
0147;2;2
0148;1;1
0148;1;1
0148;1;1
0148;1;1
0149;2;2
0150;1;2
0150;1;2
0150;1;2
0151;2;2
0151;2;2
0152;1;2
0152;1;2
0153;1;2
0153;1;2
0153;1;2
0153;1;2
0154;2;2
0154;2;2
0154;2;2
0155;2;2
0155;2;2
0155;2;2
0156;1;2
0156;1;2
