"CUEST";"cno12";"cobhe"
"0001";34;5
"0002";56;5
"0003";56;5
"0004";10;4
"0005";41;4
"0006";30;4
"0007";80;8
"0008";56;5
"0009";82;8
"0010";5;2
"0011";33;8
"0012";36;5
"0013";53;5
"0014";82;3
"0015";72;5
"0016";30;6
"0017";53;5
"0018";40;3
"0019";NA;10
"0020";20;4
"0021";56;7
"0022";56;7
"0023";53;8
"0024";34;3
"0025";20;4
"0026";34;7
"0027";56;5
"0028";48;5
"0029";20;3
"0030";56;7
"0031";41;4
"0032";10;4
"0033";30;4
"0034";72;3
"0035";5;2
"0036";11;4
"0037";56;7
"0038";40;4
"0039";20;3
"0040";30;4
"0041";53;5
"0042";10;4
"0043";20;4
"0044";30;6
"0045";81;3
"0046";40;4
"0047";53;5
"0048";72;8
"0049";40;4
"0050";11;3
"0051";47;5
"0052";36;4
"0053";10;4
"0054";30;4
"0055";47;5
"0056";80;7
"0057";56;7
"0058";80;5
"0059";72;7
"0060";48;5
"0061";80;8
"0062";30;3
"0063";10;4
"0064";10;4
"0065";80;8
"0066";30;4
"0067";10;4
"0068";40;6
"0069";53;5
"0070";10;4
"0071";30;3
"0072";41;4
"0073";82;8
"0074";34;3
"0075";80;8
"0076";30;3
"0077";53;8
"0078";80;7
"0079";32;8
"0080";57;8
"0081";30;4
"0082";10;4
"0083";57;7
"0084";56;7
"0085";20;4
"0086";56;7
"0087";54;6
"0088";30;3
"0089";6;1
"0090";10;4
"0091";47;5
"0092";30;3
"0093";40;4
"0094";80;4
"0095";46;4
"0096";42;4
"0097";20;4
"0098";30;6
"0099";10;6
"0100";10;4
"0101";20;3
"0102";35;6
"0103";30;6
"0104";20;4
"0105";42;4
"0106";10;4
"0107";80;4
"0108";40;3
"0109";56;7
"0110";80;4
"0111";41;4
"0112";81;4
"0113";41;6
"0114";41;6
"0115";10;4
"0116";36;5
"0117";50;3
"0118";10;4
"0119";72;8
"0120";10;4
"0121";56;7
"0122";53;5
"0123";80;5
"0124";34;3
"0125";41;4
"0126";56;7
"0127";81;4
"0128";10;6
"0129";10;6
"0130";10;4
"0131";80;5
"0132";57;5
"0133";82;5
"0134";10;4
"0135";55;7
"0136";10;4
"0137";80;5
"0138";81;4
"0139";10;4
"0140";30;3
"0141";2;1
"0142";99;10
"0143";55;7
"0144";30;6
"0145";10;4
"0146";34;7
"0147";41;4
"0148";72;8
"0149";34;7
"0150";32;4
"0151";72;8
"0152";30;3
"0153";34;3
"0154";80;8
"0155";53;7
"0156";32;8
"0157";30;6
"0158";30;3
"0159";30;4
"0160";20;4
"0161";34;3
"0162";53;5
"0163";72;8
"0164";45;4
"0165";34;3
"0166";31;4
"0167";41;3
"0168";34;3
"0169";10;4
"0170";56;7
"0171";10;4
"0172";57;8
"0173";44;5
"0174";41;4
"0175";5;2
"0176";10;4
"0177";80;7
"0178";10;6
"0179";72;8
"0180";53;7
"0181";10;6
"0182";20;4
"0183";30;3
"0184";41;4
"0185";11;3
"0186";72;8
"0187";30;3
"0188";82;5
"0189";34;5
"0190";32;8
"0191";10;4
"0192";30;3
"0193";10;4
"0194";80;4
"0195";41;4
"0196";5;2
"0197";40;4
"0198";54;8
"0199";53;8
"0200";72;5
"0201";41;6
"0202";10;3
"0203";30;4
"0204";41;4
"0205";53;5
"0206";80;3
"0207";41;4
"0208";53;5
"0209";55;7
"0210";40;4
"0211";72;8
"0212";55;7
"0213";40;4
"0214";56;5
"0215";45;4
"0216";42;4
"0217";92;5
"0218";30;4
"0219";30;4
